file,columns_needed,columns_sup,integer
Files,"FilePath,SheetName,LineStart,LineEnd,Header,ColStart,ColEnd,ToAdd,AsCorrection",True,"Header,LineStart,LineEnd,ToAdd,AsCorrection"
Fields,"Field,Category,Type,Case,Sep,Del,DelEnd,DelIn,SepGive,StripStart,StripEnd,Min,Max,Contains",False,"Min,Max"
ValuesConv,"Field,Eq,Value",False,""
Formats,"Type,ToNum,ToDate,DelEnd,Del,Sep,StripStart,StripEnd,Case,Sep1Name,Sep1Pat,Sep2Name,Sep2Pat,Sep3Name,Sep3Pat,SepKeepLink",False,"ToNum,ToDate"
FieldsOrga,"Field,ParentField,Type,Min,Max,Mod",False,"Min,Max"
